Season,Player,Position,Age,Team,TeamID,Years of Service,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Wins,Losses,Salary,Injured,Injury_Periods,Total_Days_Injured,Injury_Risk,Salary Cap,Luxury Tax,1st Apron,2nd Apron,BAE,Standard /Non-Taxpayer,Taxpayer,Team Room /Under Cap,Salary_Cap_Inflated
2021-22,Klay Thompson,Guard,32.00,GSW,1610612744.00,10.00,32.00,32.00,941.00,246.00,573.00,0.43,114.00,296.00,0.39,132.00,277.00,0.48,0.53,46.00,51.00,0.90,15.00,110.00,125.00,88.00,16.00,17.00,43.00,54.00,652.00,16.70,0.55,1.80,12.40,7.30,16.10,0.80,1.70,6.70,29.60,0.60,1.20,1.80,0.09,2.60,-1.60,1.10,0.70,53.00,29.00,37980720.00,True,2021-10-18 - 2022-01-08; 2022-01-23 - 2022-01-25; 2022-02-01 - 2022-02-02; 2022-02-09 - 2022-02-10; 2022-02-27 - 2022-03-02; 2022-03-07 - 2022-03-08; 2022-03-23 - 2022-03-24; 2022-03-28 - 2022-03-29; 2022-04-09 - 2022-11-16,313.00,High Risk,112414000.00,136606000.00,143002000.00,,3732000.00,9536000.00,5890000.00,4910000.00,121410189.95
2021-22,LeBron James,Forward,37.00,LAL,1610612747.00,18.00,56.00,56.00,2084.00,640.00,1221.00,0.52,161.00,448.00,0.36,479.00,773.00,0.62,0.59,254.00,336.00,0.76,63.00,396.00,459.00,349.00,73.00,59.00,196.00,121.00,1695.00,26.20,0.62,3.30,20.40,11.80,30.60,1.70,2.50,12.50,32.30,5.20,2.30,7.50,0.17,6.90,0.80,7.70,5.10,33.00,49.00,41180544.00,True,2021-11-04 - 2021-11-19; 2021-11-30 - 2021-12-02; 2022-01-27 - 2022-02-05; 2022-03-23 - 2022-03-27; 2022-03-29 - 2022-04-01; 2022-04-03 - 2022-11-25,269.00,High Risk,112414000.00,136606000.00,143002000.00,,3732000.00,9536000.00,5890000.00,4910000.00,121410189.95
2021-22,Stephen Curry,Guard,34.00,GSW,1610612744.00,12.00,64.00,64.00,2211.00,535.00,1224.00,0.44,285.00,750.00,0.38,250.00,474.00,0.53,0.55,275.00,298.00,0.92,34.00,301.00,335.00,404.00,85.00,23.00,206.00,130.00,1630.00,21.40,0.60,1.70,14.40,8.30,30.40,1.90,1.00,13.20,30.80,4.60,3.40,8.00,0.17,5.40,0.40,5.80,4.40,53.00,29.00,45780966.00,True,2021-11-19 - 2021-11-20; 2021-12-18 - 2021-12-20; 2022-01-06 - 2022-01-08; 2022-01-15 - 2022-01-18; 2022-02-01 - 2022-02-02; 2022-03-07 - 2022-03-08; 2022-03-17 - 2022-04-16,40.00,High Risk,112414000.00,136606000.00,143002000.00,,3732000.00,9536000.00,5890000.00,4910000.00,121410189.95
2022-23,Anthony Davis,Forward-Center,30.00,LAL,1610612747.00,10.00,56.00,54.00,1905.00,542.00,962.00,0.56,19.00,74.00,0.26,523.00,888.00,0.59,0.57,348.00,444.00,0.78,195.00,507.00,702.00,148.00,59.00,114.00,122.00,146.00,1451.00,27.80,0.63,11.30,27.60,19.70,13.00,1.50,5.10,9.50,28.40,5.50,3.40,9.00,0.23,4.60,1.70,6.30,4.00,43.00,39.00,37980720.00,True,2022-12-07 - 2022-12-09; 2022-12-18 - 2023-01-25; 2023-03-01 - 2023-03-03; 2023-03-15 - 2023-03-17,44.00,High Risk,123655000.00,150267000.00,156983000.00,,4105000.00,10490000.00,6479000.00,5401000.00,123655000.00
2022-23,Ja Morant,Guard,23.00,MEM,1610612763.00,3.00,61.00,59.00,1948.00,566.00,1214.00,0.47,92.00,300.00,0.31,474.00,914.00,0.52,0.50,372.00,497.00,0.75,61.00,296.00,357.00,493.00,66.00,16.00,206.00,100.00,1596.00,23.30,0.56,3.30,16.10,9.70,41.10,1.60,0.70,12.60,34.90,3.40,2.60,6.00,0.15,5.20,0.50,5.70,3.80,51.00,31.00,12119440.00,True,2022-10-29 - 2022-10-31; 2022-11-13 - 2022-11-15; 2022-12-12 - 2022-12-15; 2023-01-09 - 2023-01-11; 2023-01-23 - 2023-01-24; 2023-02-05 - 2023-02-06; 2023-03-28 - 2023-03-29; 2023-04-09 - 2023-04-16,19.00,Moderate Risk,123655000.00,150267000.00,156983000.00,,4105000.00,10490000.00,6479000.00,5401000.00,123655000.00
2022-23,Klay Thompson,Guard,33.00,GSW,1610612744.00,11.00,69.00,69.00,2279.00,546.00,1252.00,0.44,301.00,731.00,0.41,245.00,521.00,0.47,0.56,116.00,132.00,0.88,39.00,247.00,286.00,163.00,49.00,29.00,123.00,130.00,1509.00,14.70,0.58,1.90,11.70,6.90,11.00,1.00,1.10,8.60,26.40,1.20,1.90,3.10,0.07,1.50,-1.70,-0.30,1.00,44.00,38.00,40600080.00,True,2022-11-14 - 2022-11-16; 2022-11-21 - 2022-11-23; 2022-12-14 - 2022-12-16; 2022-12-28 - 2022-12-30; 2023-04-04 - 2023-04-07,11.00,Moderate Risk,123655000.00,150267000.00,156983000.00,,4105000.00,10490000.00,6479000.00,5401000.00,123655000.00
2022-23,LeBron James,Forward,38.00,LAL,1610612747.00,19.00,55.00,54.00,1954.00,609.00,1219.00,0.50,121.00,377.00,0.32,488.00,842.00,0.58,0.55,251.00,327.00,0.77,65.00,392.00,457.00,375.00,50.00,32.00,178.00,88.00,1590.00,23.90,0.58,3.70,20.80,12.50,33.50,1.20,1.40,11.60,33.30,3.20,2.40,5.60,0.14,5.50,0.60,6.10,4.00,43.00,39.00,44474988.00,True,2022-11-10 - 2022-11-25; 2022-12-07 - 2022-12-09; 2022-12-19 - 2022-12-21; 2023-01-09 - 2023-01-12; 2023-02-09 - 2023-02-15; 2023-02-27 - 2023-03-26,55.00,High Risk,123655000.00,150267000.00,156983000.00,,4105000.00,10490000.00,6479000.00,5401000.00,123655000.00
2022-23,Stephen Curry,Guard,35.00,GSW,1610612744.00,13.00,56.00,56.00,1941.00,559.00,1133.00,0.49,273.00,639.00,0.43,286.00,494.00,0.58,0.61,257.00,281.00,0.91,39.00,302.00,341.00,352.00,52.00,20.00,179.00,117.00,1648.00,24.10,0.66,2.30,16.80,9.70,30.00,1.30,0.90,12.50,31.00,5.80,2.00,7.80,0.19,7.50,0.10,7.50,4.70,44.00,38.00,48070014.00,True,2022-11-21 - 2022-11-23; 2022-12-07 - 2022-12-10; 2022-12-15 - 2023-01-10; 2023-02-05 - 2023-03-05,59.00,High Risk,123655000.00,150267000.00,156983000.00,,4105000.00,10490000.00,6479000.00,5401000.00,123655000.00
2023-24,Anthony Davis,Forward-Center,31.00,LAL,1610612747.00,11.00,76.00,76.00,2700.00,713.00,1283.00,0.56,29.00,107.00,0.27,684.00,1176.00,0.58,0.57,421.00,516.00,0.82,239.00,722.00,961.00,266.00,91.00,178.00,159.00,177.00,1876.00,25.80,0.62,10.40,28.30,19.80,15.50,1.60,5.70,9.50,26.70,7.20,4.70,11.80,0.21,3.50,1.70,5.10,4.90,47.00,35.00,40600080.00,False,,0.00,Low Risk,136021000.00,165294000.00,172346000.00,182794000.00,4516000.00,12405000.00,5000000.00,7723000.00,130643139.05
2023-24,Ja Morant,Guard,24.00,MEM,1610612763.00,4.00,9.00,9.00,318.00,80.00,170.00,0.47,14.00,51.00,0.27,66.00,119.00,0.55,0.51,52.00,64.00,0.81,6.00,44.00,50.00,73.00,7.00,5.00,27.00,19.00,226.00,20.60,0.57,2.00,15.80,8.60,42.20,1.10,1.50,12.00,30.40,0.50,0.30,0.80,0.12,2.70,0.40,3.10,0.40,27.00,55.00,34005250.00,False,,0.00,Low Risk,136021000.00,165294000.00,172346000.00,182794000.00,4516000.00,12405000.00,5000000.00,7723000.00,130643139.05
2023-24,Klay Thompson,Guard,34.00,GSW,1610612744.00,12.00,77.00,63.00,2284.00,490.00,1133.00,0.43,268.00,692.00,0.39,222.00,441.00,0.50,0.55,127.00,137.00,0.93,35.00,219.00,254.00,176.00,50.00,35.00,117.00,127.00,1375.00,13.90,0.58,1.70,10.20,6.00,11.20,1.10,1.40,8.90,24.20,1.80,1.70,3.60,0.08,1.10,-1.50,-0.40,0.90,46.00,36.00,43219440.00,False,,0.00,Low Risk,136021000.00,165294000.00,172346000.00,182794000.00,4516000.00,12405000.00,5000000.00,7723000.00,130643139.05
2023-24,LeBron James,Forward,39.00,LAL,1610612747.00,20.00,71.00,71.00,2504.00,685.00,1269.00,0.54,149.00,363.00,0.41,536.00,906.00,0.59,0.60,303.00,404.00,0.75,61.00,457.00,518.00,589.00,89.00,38.00,245.00,78.00,1822.00,23.70,0.63,2.80,19.30,11.50,37.50,1.70,1.30,14.50,29.20,5.70,2.80,8.50,0.16,5.50,0.90,6.50,5.40,47.00,35.00,47607350.00,False,,0.00,Low Risk,136021000.00,165294000.00,172346000.00,182794000.00,4516000.00,12405000.00,5000000.00,7723000.00,130643139.05
2023-24,Stephen Curry,Guard,36.00,GSW,1610612744.00,14.00,74.00,74.00,2422.00,650.00,1445.00,0.45,357.00,876.00,0.41,293.00,569.00,0.51,0.57,299.00,324.00,0.92,37.00,293.00,330.00,379.00,54.00,28.00,210.00,117.00,1956.00,20.60,0.62,1.70,12.90,7.40,24.70,1.10,1.00,11.70,31.30,5.20,2.00,7.20,0.14,6.30,-1.10,5.20,4.40,46.00,36.00,51915615.00,False,,0.00,Low Risk,136021000.00,165294000.00,172346000.00,182794000.00,4516000.00,12405000.00,5000000.00,7723000.00,130643139.05
