,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,GP_RANK_RANK,W_RANK_RANK,L_RANK_RANK,W_PCT_RANK_RANK,MIN_RANK_RANK,FGM_RANK_RANK,FGA_RANK_RANK,FG_PCT_RANK_RANK,FG3M_RANK_RANK,FG3A_RANK_RANK,FG3_PCT_RANK_RANK,FTM_RANK_RANK,FTA_RANK_RANK,FT_PCT_RANK_RANK,OREB_RANK_RANK,DREB_RANK_RANK,REB_RANK_RANK,AST_RANK_RANK,TOV_RANK_RANK,STL_RANK_RANK,BLK_RANK_RANK,BLKA_RANK_RANK,PF_RANK_RANK,PFD_RANK_RANK,PTS_RANK_RANK,PLUS_MINUS_RANK_RANK
0.25,1.0,1.0,27.5,1.0,10.5,4.5,12.5,3.0,3.5,7.0,2.0,10.5,8.5,7.0,13.0,3.5,7.5,5.5,11.5,5.5,1.5,14.5,16.5,8.0,3.5,1.0,1.0,27.5,1.0,27.5,7.0,10.5,3.5,15.5,15.5,15.0,15.0,12.0,10.0,5.5,6.5,15.0,12.5,16.0,7.0,9.5,13.0,4.5,4.0,7.0,16.0,25.0
0.5,1.0,2.0,29.0,2.0,16.0,8.0,20.0,4.0,10.0,12.0,7.0,13.0,15.0,14.0,22.0,9.0,11.0,11.0,20.0,16.0,10.0,19.0,21.0,12.0,11.0,3.0,1.0,29.0,2.0,29.0,9.0,22.0,11.0,26.0,21.0,19.0,23.0,18.0,16.0,17.0,9.0,22.0,19.0,20.0,11.0,15.0,20.0,12.0,9.0,14.0,20.0,27.0
0.75,1.0,3.0,29.0,3.0,22.0,19.5,27.0,14.5,15.5,16.0,15.5,19.0,20.5,24.5,24.0,15.5,18.0,14.5,23.5,21.5,18.0,26.5,27.0,22.0,14.5,5.5,1.0,29.0,3.0,29.0,17.0,26.5,18.0,27.5,27.0,24.0,29.0,20.0,22.5,23.5,17.5,27.5,23.5,25.5,19.5,25.0,29.0,16.0,14.5,22.5,27.5,29.5
