Home Team,Opponent Team,MAE,MAPE,Season
Boston Celtics,Philadelphia 76ers,0.030482254920010513,0.08378786528907387,2022-23
Boston Celtics,Detroit Pistons,0.03654193202809415,0.10931661971035377,2022-23
Boston Celtics,Los Angeles Lakers,0.037341502982010166,0.10766001794624283,2022-23
Boston Celtics,Sacramento Kings,0.037907359652788956,0.10103649150192796,2022-23
Boston Celtics,Atlanta Hawks,0.04011021629066157,0.11102465289582206,2022-23
Boston Celtics,Golden State Warriors,0.04064696833841541,0.10436164982022,2022-23
Boston Celtics,New Orleans Pelicans,0.04068690198650329,0.11176056293351475,2022-23
Boston Celtics,Milwaukee Bucks,0.04192517247811535,0.11261007081225624,2022-23
Boston Celtics,Memphis Grizzlies,0.04236201506098954,0.10865789282184024,2022-23
Boston Celtics,New York Knicks,0.042945916349120775,0.1254744802614756,2022-23
Boston Celtics,Minnesota Timberwolves,0.043374151463457265,0.12353184040455804,2022-23
Boston Celtics,Dallas Mavericks,0.04391860624848586,0.11728137228204735,2022-23
Boston Celtics,Los Angeles Clippers,0.044925007687392285,0.12843956385122385,2022-23
Boston Celtics,Orlando Magic,0.04493986305488451,0.12947201114515997,2022-23
Boston Celtics,Oklahoma City Thunder,0.044970899524235844,0.1262328459805895,2022-23
Boston Celtics,Indiana Pacers,0.04591901800579246,0.1295968138978736,2022-23
Boston Celtics,Houston Rockets,0.046284680481271406,0.12986158449586244,2022-23
Boston Celtics,Miami Heat,0.04629271734942386,0.14016012125145452,2022-23
Boston Celtics,Denver Nuggets,0.04826837919920205,0.14331734310731292,2022-23
Boston Celtics,Portland Trail Blazers,0.04954123143467787,0.15205139893514738,2022-23
Boston Celtics,Chicago Bulls,0.05111319860072751,0.14634600587584434,2022-23
Boston Celtics,Phoenix Suns,0.05118631360163896,0.14118993282586137,2022-23
Boston Celtics,Cleveland Cavaliers,0.052221380124226176,0.1511239608378293,2022-23
Boston Celtics,Toronto Raptors,0.05429163322849108,0.160886279992635,2022-23
Boston Celtics,Brooklyn Nets,0.056737844329217794,0.1707665695286199,2022-23
Boston Celtics,Washington Wizards,0.057131956579885804,0.1705997727664908,2022-23
Boston Celtics,San Antonio Spurs,0.05859025018354442,0.18397051144610022,2022-23
Boston Celtics,Charlotte Hornets,0.062117624375033736,0.18184106223191346,2022-23
Boston Celtics,Utah Jazz,0.06312516337759647,0.1871327700227069,2022-23
