id,full_name,season
202970,Gustavo Ayon,2023-24
201965,Jeff Ayres,2023-24
1629028,Deandre Ayton,2023-24
101235,Kelenna Azubuike,2023-24
1628962,Udoka Azubuike,2023-24
203569,Chris Babb,2023-24
202337,Luke Babbitt,2023-24
76079,Milos Babic,2023-24
76080,Johnny Bach,2023-24
1628407,Dwayne Bacon,2023-24
1630641,Ibou Badji,2023-24
76081,Jim Baechtold,2023-24
2053,Dalibor Bagaric,2023-24
76082,John Bagley,2023-24
1628963,Marvin Bagley III,2023-24
1641735,Amari Bailey,2023-24
76084,Carl Bailey,2023-24
76083,Gus Bailey,2023-24
76085,James Bailey,2023-24
1847,Thurl Bailey,2023-24
1753,Toby Bailey,2023-24
203946,Cameron Bairstow,2023-24
1858,Mark Baker,2023-24
2486,Maurice Baker,2023-24
76089,Norm Baker,2023-24
1627758,Ron Baker,2023-24
452,Vin Baker,2023-24
1627735,Wade Baldwin IV,2023-24
1631116,Patrick Baldwin Jr.,2023-24
200764,Renaldo Balkman,2023-24
76090,Cedric Ball,2023-24
1630163,LaMelo Ball,2023-24
1628366,Lonzo Ball,2023-24
76091,Greg Ballard,2023-24
76092,Herschel Baltimore,2023-24
1628964,Mo Bamba,2023-24
1631094,Paolo Banchero,2023-24
1630217,Desmond Bane,2023-24
76093,Gene Banks,2023-24
2556,Marcus Banks,2023-24
76094,Ken Bannister,2023-24
76095,Mike Bantom,2023-24
1630625,Dalano Banton,2023-24
1627760,Cat Barber,2023-24
76096,John Barber,2023-24
2571,Leandro Barbosa,2023-24
76097,Stephen Bardo,2023-24
200826,J.J. Barea,2023-24
200745,Andrea Bargnani,2023-24
76098,Cliff Barker,2023-24
76099,Tom Barker,2023-24
787,Charles Barkley,2023-24
2057,Erick Barkley,2023-24
76102,Don Barksdale,2023-24
1631230,Dominick Barlow,2023-24
203084,Harrison Barnes,2023-24
76103,Harry Barnes,2023-24
76105,Jim Barnes,2023-24
76104,Marvin Barnes,2023-24
2440,Matt Barnes,2023-24
1630567,Scottie Barnes,2023-24
76107,Dick Barnett,2023-24
76106,Jim Barnett,2023-24
76108,John Barnhill,2023-24
76109,Norton Barnhill,2023-24
76110,Leo Barnhorst,2023-24
76111,John Barr,2023-24
76112,Mike Barr,2023-24
76113,Thomas Barr,2023-24
2857,Andre Barrett,2023-24
76114,Ernie Barrett,2023-24
1629628,RJ Barrett,2023-24
2853,Earl Barron,2023-24
344,Dana Barros,2023-24
699,Brent Barry,2023-24
1003,Drew Barry,2023-24
468,Jon Barry,2023-24
600013,Rick Barry,2023-24
76117,Ed Bartels,2023-24
76118,Vic Bartolome,2023-24
203115,Will Barton,2023-24
101188,Eddie Basden,2023-24
76119,Jerry Baskerville,2023-24
101138,Brandon Bass,2023-24
1628238,Paris Bass,2023-24
76120,Tim Bassett,2023-24
1629646,Charles Bassey,2023-24
1766,Maceo Baston,2023-24
2370,Mengke Bateer,2023-24
76121,Billyray Bates,2023-24
1641734,Emoni Bates,2023-24
1628966,Keita Bates-Diop,2023-24
101212,Esteban Batista,2023-24
2471,Mike Batiste,2023-24
1499,Tony Battie,2023-24
2203,Shane Battier,2023-24
174,John Battle,2023-24
76123,Kenny Battle,2023-24
76124,Dave Batton,2023-24
201587,Nicolas Batum,2023-24
76125,Johnny Baum,2023-24
76126,Frankie Baumholtz,2023-24
2437,Lonny Baxter,2023-24
201573,Jerryd Bayless,2023-24
76127,Elgin Baylor,2023-24
203382,Aron Baynes,2023-24
76128,Sergei Bazarevich,2023-24
203145,Kent Bazemore,2023-24
1629647,Darius Bazley,2023-24
76129,Ed Beach,2023-24
203078,Bradley Beal,2023-24
76130,Butch Beard,2023-24
76131,Ralph Beard,2023-24
2602,Jerome Beasley,2023-24
1627736,Malik Beasley,2023-24
201563,Michael Beasley,2023-24
76133,Zelmo Beaty,2023-24
201958,Rodrigue Beaubois,2023-24
1630699,MarJon Beauchamp,2023-24
76134,Byron Beck,2023-24
1133,Corey Beck,2023-24
76136,Ernie Beck,2023-24
76137,Moe Becker,2023-24
76138,William Bedford,2023-24
76139,Hank Beenders,2023-24
76140,Ron Behagen,2023-24
76141,Elmer Behnke,2023-24
201158,Marco Belinelli,2023-24
2294,Charlie Bell,2023-24
76142,Dennis Bell,2023-24
1628395,Jordan Bell,2023-24
1952,Raja Bell,2023-24
2559,Troy Bell,2023-24
76143,William Bell,2023-24
76144,Walt Bellamy,2023-24
1627761,DeAndre' Bembry,2023-24
76145,Irv Bemoras,2023-24
76146,Leon Benbow,2023-24
1627733,Dragan Bender,2023-24
1886,Jonathan Bender,2023-24
203968,Jerrelle Benimon,2023-24
104,Benoit Benjamin,2023-24
1736,Corey Benjamin,2023-24
203461,Anthony Bennett,2023-24
1120,Elmer Bennett,2023-24
712,Mario Bennett,2023-24
76151,Mel Bennett,2023-24
76148,Tony Bennett,2023-24
76152,Winston Bennett,2023-24
128,David Benoit,2023-24
202728,Keith Benson,2023-24
76154,Kent Benson,2023-24
1627791,Ben Bentil,2023-24
76155,Gene Berce,2023-24
76156,Gary Bergen,2023-24
1631262,Jules Bernard,2023-24
76157,Ricky Berry,2023-24
76158,Walter Berry,2023-24
1629541,Dairis Bertans,2023-24
202722,Davis Bertans,2023-24
76159,Del Beshore,2023-24
696,Travis Best,2023-24
201976,Patrick Beverley,2023-24
1630180,Saddiq Bey,2023-24
1630189,Tyler Bey,2023-24
204021,Sim Bhullar,2023-24
76160,Al Bianchi,2023-24
76161,Hank Biasatti,2023-24
76162,Henry Bibby,2023-24
1710,Mike Bibby,2023-24
76163,Ed Biedenbach,2023-24
2740,Andris Biedrins,2023-24
76164,Don Bielke,2023-24
76165,Bob Bigelow,2023-24
1497,Chauncey Billups,2023-24
76166,Dave Bing,2023-24
76167,Joe Binion,2023-24
203920,Khem Birch,2023-24
1628444,Jabari Bird,2023-24
76168,Jerry Bird,2023-24
1449,Larry Bird,2023-24
76170,Otis Birdsong,2023-24
76171,Gale Bishop,2023-24
1629048,Goga Bitadze,2023-24
1641931,Onuralp Bitim,2023-24
202687,Bismack Biyombo,2023-24
202357,Nemanja Bjelica,2023-24
76172,Uwe Blab,2023-24
1641710,Anthony Black,2023-24
76173,Charlie Black,2023-24
1641778,Leaky Black,2023-24
76174,Norman Black,2023-24
204028,Tarik Black,2023-24
76175,Tom Black,2023-24
76176,Rolando Blackman,2023-24
76180,Alex Blackwell,2023-24
76177,Cory Blackwell,2023-24
1806,James Blackwell,2023-24
76179,Nate Blackwell,2023-24
201971,DeJuan Blair,2023-24
2581,Steve Blake,2023-24
202392,Marqus Blakely,2023-24
1628469,Antonio Blakeney,2023-24
200807,Will Blalock,2023-24
76182,George Blaney,2023-24
76183,Lance Blanks,2023-24
76184,Ricky Blanton,2023-24
101154,Andray Blatche,2023-24
302,Mookie Blaylock,2023-24
202339,Eric Bledsoe,2023-24
1629833,Keljin Blevins,2023-24
76186,Leon Blevins,2023-24
76187,John Block,2023-24
76188,Mike Bloom,2023-24
1628417,Jaron Blossomgame,2023-24
916,Corie Blount,2023-24
1548,Mark Blount,2023-24
203505,Vander Blue,2023-24
1629129,Trevon Bluiett,2023-24
76189,Ray Blume,2023-24
76190,Nelson Bobb,2023-24
2800,Tony Bobbitt,2023-24
76191,Arlen Bockhorn,2023-24
1631205,Buddy Boeheim,2023-24
76192,Tom Boerwinkle,2023-24
2586,Keith Bogans,2023-24
203992,Bogdan Bogdanovic,2023-24
202711,Bojan Bogdanovic,2023-24
177,Muggsy Bogues,2023-24
101106,Andrew Bogut,2023-24
1564,Etdrick Bohannon,2023-24
1629626,Bol Bol,2023-24
76195,Manute Bol,2023-24
1628413,Jonah Bolden,2023-24
1629716,Marques Bolden,2023-24
76196,Bill Bolger,2023-24
1630195,Leandro Bolmaro,2023-24
1627762,Joel Bolomboy,2023-24
76197,Doug Bolstorff,2023-24
76203,George H. Bon Salle,2023-24
76198,Phil Bond,2023-24
1603,Walter Bond,2023-24
1629648,Jordan Bone,2023-24
1121,Dexter Boney,2023-24
1629067,Isaac Bonga,2023-24
76201,Ron Bonham,2023-24
41,Anthony Bonner,2023-24
2588,Matt Bonner,2023-24
1626164,Devin Booker,2023-24
511,Melvin Booker,2023-24
202344,Trevor Booker,2023-24
200767,Josh Boone,2023-24
76204,Ron Boone,2023-24
1916,Calvin Booth,2023-24
1522,Keith Booth,2023-24
76206,Bob Boozer,2023-24
2430,Carlos Boozer,2023-24
2414,Curtis Borchardt,2023-24
76207,Jake Bornheimer,2023-24
1953,Lazaro Borrell,2023-24
76209,Costic Borsavage,2023-24
76210,Vince Boryla,2023-24
2547,Chris Bosh,2023-24
76211,Jim Bostic,2023-24
76212,Lawrence Boston,2023-24
1630527,Brandon Boston Jr.,2023-24
76213,Tom Boswell,2023-24
1628449,Chris Boucher,2023-24
1630547,James Bouknight,2023-24
2257,Ruben Boumtje-Boumtje,2023-24
1631123,Jamaree Bouyea,2023-24
76214,Don Boven,2023-24
1898,Cal Bowdler,2023-24
1477,Bruce Bowen,2023-24
1763,Ryan Bowen,2023-24
1628968,Brian Bowen II,2023-24
194,Anthony Bowie,2023-24
76217,Sam Bowie,2023-24
1085,Ira Bowman,2023-24
1629065,Ky Bowman,2023-24
76219,Nate Bowman,2023-24
671,Donnie Boyce,2023-24
76221,Dennis Boyd,2023-24
76222,Fred Boyd,2023-24
76223,Ken Boyd,2023-24
1863,Earl Boykins,2023-24
76224,Harry Boykoff,2023-24
76225,Winford Boynes,2023-24
200841,Cedric Bozeman,2023-24
76226,Steve Bracey,2023-24
202342,Craig Brackins,2023-24
76227,Gary Bradds,2023-24
76228,Alex Bradley,2023-24
76229,Alonzo Bradley,2023-24
202340,Avery Bradley,2023-24
76233,Bill Bradley,2023-24
76230,Charles Bradley,2023-24
76231,Dudley Bradley,2023-24
76232,Joe Bradley,2023-24
2214,Michael Bradley,2023-24
762,Shawn Bradley,2023-24
1628396,Tony Bradley,2023-24
1361,Mark Bradtke,2023-24
66,Marques Bragg,2023-24
1765,Torraye Braggs,2023-24
1920,A.J. Bramlett,2023-24
76237,Adrian Branch,2023-24
1882,Elton Brand,2023-24
210,Terrell Brandon,2023-24
1631103,Malaki Branham,2023-24
76238,Bob Brannum,2023-24
76239,Brad Branson,2023-24
76240,Jesse Branson,2023-24
1629714,Jarrell Brantley,2023-24
76241,Jim Brasco,2023-24
76242,Mike Bratz,2023-24
76243,Carl Braun,2023-24
1631128,Christian Braun,2023-24
1629649,Ignas Brazdeikis,2023-24
160,Tim Breaux,2023-24
2452,J.R. Bremer,2023-24
76245,Pete Brennan,2023-24
76246,Tom Brennan,2023-24
76247,Randy Breuer,2023-24
201147,Corey Brewer,2023-24
2249,Jamison Brewer,2023-24
76248,Jim Brewer,2023-24
76249,Ron Brewer,2023-24
200758,Ronnie Brewer,2023-24
2056,Primoz Brezec,2023-24
76250,Frank Brian,2023-24
783,Frank Brickowski,2023-24
76252,Junior Bridgeman,2023-24
76253,Bill Bridges,2023-24
1628969,Mikal Bridges,2023-24
1628970,Miles Bridges,2023-24
76254,Al Brightman,2023-24
1628578,Amida Brimah,2023-24
76255,Audley Brindley,2023-24
1628515,Isaiah Briscoe,2023-24
76256,John Brisker,2023-24
1629052,Oshae Brissett,2023-24
76257,Allan Bristow,2023-24
76258,Tyrone Britt,2023-24
76259,Wayman Britt,2023-24
76260,Mike Brittain,2023-24
76261,David Britton,2023-24
1631167,Izaiah Brockington,2023-24
201972,Jon Brockman,2023-24
1629151,Ryan Broekhoff,2023-24
76262,Jim Brogan,2023-24
1627763,Malcolm Brogdon,2023-24
76263,Gary Brokaw,2023-24
76264,Price Brookfield,2023-24
201166,Aaron Brooks,2023-24
1629717,Armoni Brooks,2023-24
1628415,Dillon Brooks,2023-24
76265,Kevin Brooks,2023-24
202705,MarShon Brooks,2023-24
76266,Michael Brooks,2023-24
418,Scott Brooks,2023-24
2810,Andre Brown,2023-24
1626148,Anthony Brown,2023-24
76284,Bob Brown,2023-24
201628,Bobby Brown,2023-24
1628971,Bruce Brown,2023-24
359,Chucky Brown,2023-24
2245,Damone Brown,2023-24
76270,Darrell Brown,2023-24
244,Dee Brown,2023-24
200793,Dee Brown,2023-24
201974,Derrick Brown,2023-24
2484,Devin Brown,2023-24
2081,Ernest Brown,2023-24
76272,Fred Brown,2023-24
76273,George Brown,2023-24
1871,Gerald Brown,2023-24
76275,Harold Brown,2023-24
203913,Jabari Brown,2023-24
1627759,Jaylen Brown,2023-24
76276,John Brown,2023-24
2208,Kedrick Brown,2023-24
1631112,Kendall Brown,2023-24
1641738,Kobe Brown,2023-24
2198,Kwame Brown,2023-24
76278,Leon Brown,2023-24
76279,Lewis Brown,2023-24
203485,Lorenzo Brown,2023-24
992,Marcus Brown,2023-24
203900,Markel Brown,2023-24
1479,Mike Brown,2023-24
1629650,Moses Brown,2023-24
76277,Myron Brown,2023-24
136,P.J. Brown,2023-24
753,Randy Brown,2023-24
76282,Raymond Brown,2023-24
76283,Rickey Brown,2023-24
76286,Roger Brown,2023-24
200769,Shannon Brown,2023-24
76285,Stan Brown,2023-24
1628425,Sterling Brown,2023-24
2357,Tierre Brown,2023-24
76268,Tony Brown,2023-24
1630535,Greg Brown III,2023-24
1629718,Charlie Brown Jr.,2023-24
1630602,Chaundee Brown Jr.,2023-24
1628972,Troy Brown Jr.,2023-24
76287,Jim Browne,2023-24
76288,Stanley Brundy,2023-24
1628973,Jalen Brunson,2023-24
1594,Rick Brunson,2023-24
1627852,Nicolas Brussino,2023-24
1629091,Elijah Bryant,2023-24
76289,Emmette Bryant,2023-24
76290,Joe Bryant,2023-24
977,Kobe Bryant,2023-24
95,Mark Bryant,2023-24
1628418,Thomas Bryant,2023-24
76291,Wallace Bryant,2023-24
76292,Torgeir Bryn,2023-24
1629783,Shaq Buchanan,2023-24
76293,Joe Buckhalter,2023-24
76294,Steve Bucknall,2023-24
76295,Cleveland Buckner,2023-24
1761,Greg Buckner,2023-24
76296,Quinn Buckner,2023-24
76297,Dave Budd,2023-24
201978,Chase Budinger,2023-24
76298,Walter Budko,2023-24
146,Jud Buechler,2023-24
1641723,Kobe Bufkin,2023-24
1934,Rodney Buford,2023-24
672,Matt Bullard,2023-24
203493,Reggie Bullock Jr.,2023-24
76300,Greg Bunch,2023-24
76301,Dick Bunt,2023-24
76302,Bill Buntin,2023-24
76303,Luther Burden,2023-24
2469,Pat Burke,2023-24
203504,Trey Burke,2023-24
76304,Roger Burkman,2023-24
202692,Alec Burks,2023-24
2766,Antonio Burks,2023-24
101207,Kevin Burleson,2023-24
76305,Tom Burleson,2023-24
76306,Jack Burmaster,2023-24
76307,David Burns,2023-24
76308,Evers Burns,2023-24
76309,Jim Burns,2023-24
197,Scott Burrell,2023-24
76311,Art Burris,2023-24
675,Junior Burrough,2023-24
76313,Bob Burrow,2023-24
1629126,Deonte Burton,2023-24
76314,Ed Burton,2023-24
416,Willie Burton,2023-24
76316,Steve Burtt,2023-24
76317,Don Buse,2023-24
202221,Brian Butch,2023-24
76318,Donnie Butcher,2023-24
76319,Al Butler,2023-24
2406,Caron Butler,2023-24
202364,Da'Sean Butler,2023-24
76320,Greg Butler,2023-24
2866,Jackie Butler,2023-24
1630215,Jared Butler,2023-24
202710,Jimmy Butler,2023-24
348,Mitchell Butler,2023-24
2446,Rasual Butler,2023-24
1631219,John Butler Jr.,2023-24
202779,Dwight Buycks,2023-24
201182,Derrick Byars,2023-24
101115,Andrew Bynum,2023-24
101198,Will Bynum,2023-24
76321,Marty Byrnes,2023-24
76322,Tommy Byrnes,2023-24
76323,Mike Bytzura,2023-24
